Time_s,Alive_Nodes,Total_Energy_J,Generated_Packets,Delivered_Packets,Dropped_Packets,Avg_Latency_s
1090.0,446,868.3285,48992,41373,7494,0.01969
1100.0,446,867.8838,49438,41498,7815,0.01965
1110.0,446,867.4143,49884,41623,8136,0.01962
1120.0,446,866.9461,50330,41748,8457,0.01958
1130.0,446,866.5015,50776,41873,8778,0.01955
1140.0,445,866.0445,51221,41998,9099,0.01951
1150.0,445,865.6018,51666,42122,9420,0.01948
1160.0,445,865.147,52111,42246,9741,0.01945
1170.0,445,864.7003,52556,42370,10064,0.01941
1180.0,445,864.2879,53001,42492,10387,0.01938
1190.0,445,863.8648,53446,42614,10710,0.01935
1200.0,445,863.4132,53891,42736,11033,0.01932
1210.0,445,862.9739,54336,42858,11356,0.01929
1220.0,445,862.5363,54781,42980,11679,0.01925
1230.0,445,862.1051,55226,43102,12002,0.01922
1240.0,444,861.6693,55670,43224,12325,0.01919
1250.0,444,861.236,56114,43345,12648,0.01916
1260.0,444,860.8062,56558,43466,12971,0.01913
1270.0,444,860.3791,57002,43587,13294,0.0191
1280.0,444,859.9273,57446,43708,13617,0.01907
1290.0,444,859.47,57890,43829,13940,0.01904
1300.0,444,859.0174,58334,43950,14263,0.01901
1310.0,443,858.5705,58777,44071,14586,0.01898
1320.0,441,858.131,59218,44191,14909,0.01895
1330.0,441,857.698,59659,44309,15232,0.01892
1340.0,440,857.2676,60099,44427,15555,0.01889
1350.0,440,856.8436,60539,44544,15878,0.01887
1360.0,439,856.4253,60978,44661,16201,0.01884
1370.0,439,855.9993,61417,44777,16524,0.01881
1380.0,439,855.5857,61856,44893,16847,0.01878
1390.0,439,855.1579,62295,45009,17170,0.01876
1400.0,438,854.7365,62733,45125,17493,0.01873
1410.0,438,854.3219,63171,45240,17816,0.0187
1420.0,438,853.8908,63609,45355,18139,0.01868
1430.0,437,853.4734,64046,45470,18462,0.01865
1440.0,436,853.0573,64482,45584,18785,0.01862
1450.0,436,852.6558,64918,45697,19108,0.0186
1460.0,436,852.2306,65354,45810,19431,0.01857
1470.0,436,851.8167,65790,45923,19754,0.01855
1480.0,436,851.4058,66226,46036,20077,0.01852
1490.0,436,850.9837,66662,46149,20400,0.0185
1500.0,436,850.5788,67098,46262,20723,0.01847
1510.0,433,850.186,67531,46375,21046,0.01845
1520.0,433,849.7942,67964,46485,21369,0.01842
1530.0,433,849.4031,68397,46595,21692,0.0184
1540.0,433,849.0163,68830,46705,22015,0.01837
1550.0,433,848.6284,69263,46815,22338,0.01835
1560.0,433,848.2346,69696,46925,22661,0.01833
1570.0,433,847.8241,70129,47035,22984,0.0183
1580.0,432,847.434,70561,47145,23307,0.01828
1590.0,432,847.0446,70993,47254,23630,0.01826
1600.0,432,846.6563,71425,47363,23953,0.01823
1610.0,432,846.2637,71857,47472,24276,0.01821
1620.0,432,845.8696,72289,47581,24599,0.01819
1630.0,432,845.4892,72721,47690,24922,0.01817
1640.0,432,845.0957,73153,47799,25245,0.01814
1650.0,432,844.7144,73585,47908,25568,0.01812
1660.0,432,844.3313,74017,48017,25891,0.0181
1670.0,432,843.9399,74449,48126,26214,0.01808
1680.0,432,843.5598,74881,48235,26537,0.01806
1690.0,432,843.1734,75313,48344,26860,0.01803
1700.0,432,842.7694,75745,48453,27183,0.01801
1710.0,432,842.3876,76177,48562,27506,0.01799
1720.0,432,841.9877,76609,48671,27829,0.01797
1730.0,432,841.581,77041,48780,28152,0.01795
1740.0,431,841.1975,77472,48889,28475,0.01793
1750.0,431,840.7999,77903,48997,28798,0.0179
1760.0,431,840.4326,78334,49105,29121,0.01788
1770.0,430,840.0697,78764,49213,29444,0.01786
1780.0,430,839.6901,79194,49320,29767,0.01784
1790.0,430,839.2937,79624,49427,30090,0.01782
1800.0,429,838.9206,80053,49534,30413,0.0178
1810.0,429,838.5602,80482,49640,30736,0.01778
1820.0,429,838.1958,80911,49746,31059,0.01776
1830.0,429,837.8208,81340,49852,31382,0.01774
1840.0,428,837.4546,81768,49958,31705,0.01772
1850.0,427,837.0951,82195,50063,32028,0.0177
1860.0,427,836.7489,82622,50167,32351,0.01768
1870.0,427,836.4169,83049,50271,32674,0.01766
1880.0,427,836.0617,83476,50375,32997,0.01764
1890.0,427,835.7278,83903,50479,33320,0.01762
1900.0,427,835.3851,84330,50583,33643,0.0176
1910.0,427,835.0529,84757,50687,33966,0.01758
1920.0,426,834.721,85183,50791,34289,0.01756
1930.0,425,834.3951,85608,50894,34612,0.01754
1940.0,425,834.0776,86033,50996,34935,0.01752
1950.0,424,833.7568,86457,51098,35258,0.01751
1960.0,424,833.4467,86881,51199,35581,0.01749
1970.0,424,833.1291,87305,51300,35904,0.01747
1980.0,424,832.8244,87729,51401,36227,0.01745
1990.0,423,832.5014,88152,51502,36550,0.01743
2000.0,423,832.1971,88575,51602,36873,0.01741
2010.0,423,831.8953,88998,51702,37196,0.01739
2020.0,422,831.5948,89420,51802,37519,0.01737
2030.0,422,831.2963,89842,51901,37842,0.01736
2040.0,422,831.0011,90264,52000,38165,0.01734
2050.0,422,830.7073,90686,52099,38491,0.01732
2060.0,422,830.443,91108,52195,38817,0.0173
2070.0,421,830.1871,91529,52291,39143,0.01729
2080.0,420,829.9263,91949,52386,39469,0.01727
2090.0,420,829.6832,92369,52480,39795,0.01725
2100.0,420,829.4368,92789,52574,40124,0.01724
2110.0,420,829.2168,93209,52665,40453,0.01722
2120.0,420,828.9896,93629,52756,40782,0.0172
2130.0,420,828.7557,94049,52847,41111,0.01719
2140.0,420,828.5258,94469,52938,41440,0.01717
2150.0,420,828.2971,94889,53029,41769,0.01715
2160.0,419,828.079,95308,53120,42098,0.01714
2170.0,419,827.8629,95727,53210,42427,0.01712
2180.0,419,827.6383,96146,53300,42756,0.0171
2190.0,419,827.4253,96565,53390,43085,0.01709
2200.0,419,827.2092,96984,53480,43414,0.01707
2210.0,418,826.9813,97402,53570,43743,0.01706
2220.0,418,826.769,97820,53659,44072,0.01704
2230.0,418,826.5567,98238,53748,44401,0.01702
2240.0,418,826.3462,98656,53837,44730,0.01701
2250.0,418,826.1262,99074,53926,45059,0.01699
2260.0,418,825.904,99492,54015,45388,0.01698
2270.0,417,825.6922,99909,54104,45717,0.01696
2280.0,417,825.4813,100326,54192,46046,0.01694
2290.0,417,825.2712,100743,54280,46375,0.01693
2300.0,417,825.0559,101160,54368,46704,0.01691
2310.0,417,824.8458,101577,54456,47033,0.0169
2320.0,417,824.631,101994,54544,47362,0.01688
2330.0,417,824.4256,102411,54632,47691,0.01687
2340.0,417,824.2076,102828,54720,48020,0.01685
2350.0,417,823.9704,103245,54808,48349,0.01684
2360.0,416,823.7476,103661,54896,48678,0.01682
2370.0,416,823.5334,104077,54983,49007,0.01681
2380.0,416,823.329,104493,55070,49336,0.01679
2390.0,416,823.1287,104909,55157,49665,0.01678
