Time_s,Alive_Nodes,Total_Energy_J,Generated_Packets,Delivered_Packets,Dropped_Packets,Avg_Latency_s
0,450,1350.0,0,0,0,0.0
10.0,450,1350.0,450,0,0,0.0
20.0,450,1342.3732,900,450,0,0.01286
30.0,450,1334.6296,1350,900,0,0.01286
40.0,450,1326.8872,1800,1350,0,0.01286
50.0,450,1319.037,2250,1800,0,0.01286
60.0,450,1311.343,2700,2250,0,0.01286
70.0,450,1303.4092,3150,2700,0,0.01286
80.0,450,1295.6205,3600,3150,0,0.01286
90.0,450,1287.8978,4050,3600,0,0.01286
100.0,450,1280.1449,4500,4050,0,0.01286
110.0,450,1272.3322,4950,4500,0,0.01288
120.0,450,1264.7951,5400,4950,0,0.0129
130.0,450,1257.303,5850,5400,0,0.01293
140.0,450,1249.937,6300,5850,0,0.01295
150.0,450,1242.5413,6750,6300,0,0.01297
160.0,450,1235.1064,7200,6750,0,0.01299
170.0,450,1227.6201,7650,7200,0,0.013
180.0,450,1220.2977,8100,7650,0,0.01301
190.0,450,1212.9389,8550,8100,0,0.01303
200.0,450,1205.6936,9000,8550,0,0.01305
210.0,450,1198.545,9450,9000,0,0.01307
220.0,450,1191.0705,9900,9450,0,0.01311
230.0,450,1183.5793,10350,9900,0,0.01313
240.0,450,1176.0114,10800,10350,0,0.01316
250.0,450,1168.3484,11250,10800,0,0.0132
260.0,450,1160.7828,11700,11250,0,0.01323
270.0,450,1152.9755,12150,11700,0,0.01327
280.0,450,1145.0991,12600,12150,0,0.01331
290.0,450,1137.2656,13050,12600,0,0.01335
300.0,450,1129.4533,13500,13050,0,0.01339
310.0,450,1121.7017,13950,13500,0,0.01342
320.0,450,1113.6857,14400,13950,0,0.01346
330.0,450,1105.3064,14850,14400,0,0.0135
340.0,450,1096.8247,15300,14850,0,0.01354
350.0,450,1088.2376,15750,15300,0,0.01358
360.0,450,1079.7367,16200,15750,0,0.01363
370.0,450,1071.2788,16650,16200,0,0.01368
380.0,450,1062.8699,17100,16650,0,0.01373
390.0,450,1053.9715,17550,17100,0,0.01378
400.0,450,1045.0519,18000,17550,0,0.01383
