Time_s,Alive_Nodes,Total_Energy_J,Generated_Packets,Delivered_Packets,Dropped_Packets,Avg_Latency_s
0,450,1350.0,0,0,0,0.0
10.0,450,1350.0,450,0,0,0.0
20.0,450,1338.0066,900,450,0,0.01068
30.0,450,1326.1538,1350,900,0,0.01068
40.0,450,1314.2541,1800,1350,0,0.01068
50.0,450,1302.3194,2250,1800,0,0.01068
60.0,450,1290.4243,2700,2250,0,0.01068
70.0,450,1278.539,3150,2700,0,0.01068
80.0,450,1266.5578,3600,3150,0,0.01068
90.0,450,1254.7963,4050,3600,0,0.01068
100.0,450,1242.9186,4500,4050,0,0.0107
110.0,450,1231.1432,4950,4500,0,0.01073
120.0,450,1219.5399,5400,4950,0,0.01078
130.0,450,1207.9443,5850,5400,0,0.01081
140.0,450,1196.4708,6300,5850,0,0.01085
150.0,450,1185.0456,6750,6300,0,0.01089
160.0,449,1173.7816,7199,6750,0,0.01094
170.0,449,1162.5781,7648,7199,0,0.01097
180.0,449,1151.3548,8097,7648,0,0.01101
190.0,449,1140.0017,8546,8097,0,0.01103
200.0,448,1128.4844,8994,8546,0,0.01106
210.0,448,1117.2527,9442,8994,0,0.01109
220.0,448,1106.1617,9890,9442,0,0.01111
230.0,448,1094.8075,10338,9890,0,0.01114
240.0,448,1083.2633,10786,10338,0,0.01116
250.0,448,1071.4993,11234,10786,0,0.01121
260.0,448,1058.8208,11682,11234,0,0.01127
270.0,448,1046.2116,12130,11682,0,0.01132
280.0,447,1033.7083,12577,12130,0,0.01137
290.0,447,1021.0163,13024,12577,0,0.01143
300.0,447,1008.3983,13471,13024,0,0.01148
310.0,447,995.6332,13918,13471,0,0.01153
320.0,447,982.922,14365,13918,0,0.01158
330.0,446,970.9095,14811,14365,0,0.01164
340.0,446,958.3588,15257,14811,0,0.0117
350.0,445,945.7863,15702,15257,0,0.01176
360.0,445,933.4662,16147,15702,0,0.01181
370.0,445,920.9292,16592,16147,0,0.01187
380.0,444,908.2984,17036,16592,0,0.01194
390.0,443,895.4819,17479,17036,0,0.012
400.0,443,882.859,17922,17479,0,0.01206
